,emp_id,first_name,last_name,bank_name,account_number,bank_code,bank_branch,designation,salary,currency_code,salary_AUD
23,08-6414699,Teddy,Dowyer,Australia and New Zealand Banking Group,41474222711.0,EKCJ787040,Clueset,Electrician,3178,EUR,4992.99
25,61-2701940,Annabel,Hamfleet,Australia and New Zealand Banking Group,70575061071.0,WLWM530284,Strerton,Construction Foreman,2647,USD,3602.86
28,11-6999055,Willard,Barbery,Australia and New Zealand Banking Group,40388208777.0,NQAA695476,Anbuburg,Project Manager,2574,EUR,4044.04
31,78-6342011,Marin,Elion,Australia and New Zealand Banking Group,64567802600.0,RQWW316547,Sriemvine,Electrician,1453,EUR,2282.82
33,53-4484338,Olav,Rickis,Australia and New Zealand Banking Group,56543993178.0,ISPH725253,Kroxvale,Construction Foreman,1266,EUR,1989.03
36,95-3196306,Hilliary,Websdale,Australia and New Zealand Banking Group,96812491880.0,DYMS618361,Ling,Construction Foreman,2089,EUR,3282.05
39,23-5521928,Obediah,Scogings,Australia and New Zealand Banking Group,17238428493.0,LQLV390791,Ertonmore,Subcontractor,2873,AUD,2873.0
41,73-5168538,Stearn,Trevaskis,Australia and New Zealand Banking Group,42288659447.0,UZMW641114,Ebrudcaster,Project Manager,1250,EUR,1963.89
44,97-6311137,Mercie,Hairesnape,Australia and New Zealand Banking Group,60865297141.0,HZLZ926955,Luxville,Estimator,3725,GBP,6858.14
47,09-3423952,Em,Wabe,Australia and New Zealand Banking Group,60956388028.0,KXSF110442,Agleles,Surveyor,2719,EUR,4271.85
1,85-1304261,Moira,Grealish,Australia and New Zealand Banking Group,146000000000.0,WTTO860828,Srirora,Construction Expeditor,3989,EUR,6267.16
4,95-6025086,Josi,Kienl,Australia and New Zealand Banking Group,533000000000.0,QVGC885211,Sterset,Surveyor,1928,EUR,3029.1
6,35-1998986,Agretha,,Australia and New Zealand Banking Group,728000000000.0,IUJV027349,Shin,Subcontractor,3442,EUR,5407.76
9,31-8543969,Sherri,Verillo,Australia and New Zealand Banking Group,284000000000.0,VALV374604,Estermery,Project Manager,3424,USD,4660.44
12,55-5458193,Austin,Licquorish,Australia and New Zealand Banking Group,362000000000.0,AFLW934770,Kuupset,Construction Manager,2449,EUR,3847.65
14,15-2301361,Igor,Allbrook,Australia and New Zealand Banking Group,637000000000.0,GELX022505,Chombridge,Construction Worker,3846,EUR,6042.49
17,73-4293494,Andrea,Yong,Australia and New Zealand Banking Group,864000000000.0,QAEQ142519,Cand,Subcontractor,2270,EUR,3566.42
20,81-6991941,Etheline,Frier,Australia and New Zealand Banking Group,438000000000.0,VTAU544147,Ansson,Project Manager,3773,EUR,5927.8
22,70-4140857,Rolfe,Mulgrew,Australia and New Zealand Banking Group,943000000000.0,CPWB154089,Qreham,Supervisor,2581,EUR,4055.04
25,85-8756618,Leighton,Couper,Australia and New Zealand Banking Group,866000000000.0,FNNS481502,Brotdale,Project Manager,1885,EUR,2961.54
28,45-4559040,Boycie,Elster,Australia and New Zealand Banking Group,237000000000.0,JHOU180554,Zlario,Construction Manager,1666,EUR,2617.47
30,95-2549511,Shari,Grelka,Australia and New Zealand Banking Group,272000000000.0,EIYR427788,Okville,Construction Expeditor,1673,EUR,2628.47
33,49-7027885,Margy,Benner,Australia and New Zealand Banking Group,909000000000.0,EWXD440763,Hokport,Construction Manager,1890,EUR,2969.4
36,93-3981171,Laughton,Whittington,Australia and New Zealand Banking Group,182000000000.0,MRPH688715,Daka,Project Manager,1970,EUR,3095.09
38,10-3579366,Latrina,Rickell,Australia and New Zealand Banking Group,122000000000.0,KSNK172055,Yrego,Surveyor,3307,EUR,5195.66
41,36-8895737,Glenda,Cuppitt,Australia and New Zealand Banking Group,308000000000.0,RPEH918361,Drubus,Estimator,1219,EUR,1915.18
44,38-6398303,Eugenio,Ewbanck,Australia and New Zealand Banking Group,573000000000.0,HYBL356635,Fuobert,Construction Worker,1067,EUR,1676.38
46,23-0794573,Trude,Juggins,Australia and New Zealand Banking Group,358000000000.0,KXXR427789,Uvanta,Construction Foreman,1348,USD,1834.78
49,87-4660572,Buck,Bonallack,Australia and New Zealand Banking Group,253000000000.0,DPRK389964,Odonmouth,Engineer,3935,EUR,6182.32
